No.,Attraction,OWI,Risk Level,Insight,Sentiment,Display Phrase,Share %
1.0,Gyeongbokgung Palace,0.308,Low Risk,History/Culture,positive,Rich history & culture!,47.5
1.0,Gyeongbokgung Palace,0.308,Low Risk,Guided Tour,positive,Guided tours are worth it!,37.0
1.0,Gyeongbokgung Palace,0.308,Low Risk,Performance,neutral,Check performance times.,7.2
1.0,Gyeongbokgung Palace,0.308,Low Risk,Weather,negative,Weather can make or break the visit.,7.4
2.0,Myeongdong Shopping Street,0.407,Low Risk,Food,positive,Highly recommended for food!,54.3
2.0,Myeongdong Shopping Street,0.407,Low Risk,Shopping,positive,Great for shopping!,54.3
2.0,Myeongdong Shopping Street,0.407,Low Risk,Food,neutral,Plenty of food options around.,19.5
2.0,Myeongdong Shopping Street,0.407,Low Risk,Weather,negative,Weather can make or break the visit.,1.9
3.0,N Seoul Tower,0.242,Low Risk,Transport,positive,Easy to get to!,98.0
3.0,N Seoul Tower,0.242,Low Risk,Scenery,positive,Stunning views!,98.0
3.0,N Seoul Tower,0.242,Low Risk,Tickets/Price,neutral,Check ticket options beforehand.,16.2
3.0,N Seoul Tower,0.242,Low Risk,History/Culture,neutral,Background reading enriches the visit.,16.2
3.0,N Seoul Tower,0.242,Low Risk,Crowds,negative,Very crowded — expect waiting.,8.9
3.0,N Seoul Tower,0.242,Low Risk,Nature,negative,Outdoor areas can disappoint.,7.3
4.0,National Museum Of Korea,0.152,Low Risk,History/Culture,positive,Rich history & culture!,59.2
4.0,National Museum Of Korea,0.152,Low Risk,Exhibits,positive,Impressive exhibits!,38.6
4.0,National Museum Of Korea,0.152,Low Risk,Guided Tour,neutral,Tours available — check schedules.,21.2
4.0,National Museum Of Korea,0.152,Low Risk,History/Culture,negative,Exhibits may feel lacking.,65.3
5.0,Insadong,0.359,Low Risk,Shopping,positive,Great for shopping!,82.1
5.0,Insadong,0.359,Low Risk,History/Culture,positive,Rich history & culture!,17.9
5.0,Insadong,0.359,Low Risk,Food,neutral,Plenty of food options around.,6.4
5.0,Insadong,0.359,Low Risk,Shopping,negative,Shopping can feel touristy/pricey.,25.5
6.0,The War Memorial of Korea,0.328,Low Risk,History/Culture,positive,Rich history & culture!,62.1
6.0,The War Memorial of Korea,0.328,Low Risk,Exhibits,positive,Impressive exhibits!,37.9
6.0,The War Memorial of Korea,0.328,Low Risk,History/Culture,neutral,Background reading enriches the visit.,26.1
6.0,The War Memorial of Korea,0.328,Low Risk,Transport,negative,Be cautious about transportation.,8.6
6.0,The War Memorial of Korea,0.328,Low Risk,Family/Kids,negative,Can be hectic with kids around.,8.6
7.0,Bukchon Hanok Village,0.324,Low Risk,History/Culture,positive,Rich history & culture!,58.4
7.0,Bukchon Hanok Village,0.324,Low Risk,Shopping,positive,Great for shopping!,29.7
7.0,Bukchon Hanok Village,0.324,Low Risk,History/Culture,neutral,Background reading enriches the visit.,11.3
7.0,Bukchon Hanok Village,0.324,Low Risk,Crowds,negative,Very crowded — expect waiting.,46.2
7.0,Bukchon Hanok Village,0.324,Low Risk,Transport,negative,Be cautious about transportation.,3.4
8.0,Changdeokgung Palace,0.325,Low Risk,Guided Tour,positive,Guided tours are worth it!,11.7
8.0,Changdeokgung Palace,0.325,Low Risk,History/Culture,positive,Rich history & culture!,9.8
8.0,Changdeokgung Palace,0.325,Low Risk,Nature,neutral,Nice for a casual stroll.,24.9
8.0,Changdeokgung Palace,0.325,Low Risk,Guided Tour,negative,Tour operation can be inconvenient.,15.6
9.0,Cheonggyecheon Stream,0.357,Low Risk,Shopping,positive,Great for shopping!,94.2
9.0,Cheonggyecheon Stream,0.357,Low Risk,History/Culture,neutral,Background reading enriches the visit.,10.4
9.0,Cheonggyecheon Stream,0.357,Low Risk,Family/Kids,negative,Can be hectic with kids around.,14.5
9.0,Cheonggyecheon Stream,0.357,Low Risk,Weather,negative,Weather can make or break the visit.,11.1
10.0,Everland,0.295,Low Risk,Nature,positive,Beautiful natural scenery!,78.9
10.0,Everland,0.295,Low Risk,Transport,neutral,Plan your route in advance.,25.5
10.0,Everland,0.295,Low Risk,Transport,negative,Be cautious about transportation.,62.6
11.0,Haeundae Beach,0.324,Low Risk,Food,positive,Highly recommended for food!,22.5
11.0,Haeundae Beach,0.324,Low Risk,Nature,positive,Beautiful natural scenery!,22.5
11.0,Haeundae Beach,0.324,Low Risk,Weather,neutral,Check the weather before visiting.,24.5
11.0,Haeundae Beach,0.324,Low Risk,Transport,neutral,Plan your route in advance.,11.0
11.0,Haeundae Beach,0.324,Low Risk,Facilities,negative,Facilities need improvement.,8.0
12.0,Busan Gamcheon Culture Village,0.235,Low Risk,Shopping,positive,Great for shopping!,11.5
12.0,Busan Gamcheon Culture Village,0.235,Low Risk,History/Culture,positive,Rich history & culture!,9.1
12.0,Busan Gamcheon Culture Village,0.235,Low Risk,Transport,neutral,Plan your route in advance.,22.9
12.0,Busan Gamcheon Culture Village,0.235,Low Risk,Hiking/Stairs,negative,Steep stairs — physically demanding.,22.8
13.0,Starfield COEX Mall,0.413,Low Risk,Shopping,positive,Great for shopping!,19.5
13.0,Starfield COEX Mall,0.413,Low Risk,Exhibits,positive,Impressive exhibits!,19.5
13.0,Starfield COEX Mall,0.413,Low Risk,Transport,neutral,Plan your route in advance.,22.2
13.0,Starfield COEX Mall,0.413,Low Risk,Food,neutral,Plenty of food options around.,22.2
13.0,Starfield COEX Mall,0.413,Low Risk,Food,negative,Food options may disappoint.,93.0
14.0,Seongsan Ilchulbong,0.186,Low Risk,Scenery,positive,Stunning views!,25.1
14.0,Seongsan Ilchulbong,0.186,Low Risk,Nature,positive,Beautiful natural scenery!,25.1
14.0,Seongsan Ilchulbong,0.186,Low Risk,Hiking/Stairs,neutral,Wear comfortable shoes.,62.7
14.0,Seongsan Ilchulbong,0.186,Low Risk,Scenery,negative,Views depend heavily on weather.,15.3
