location_name,positive,negative,avg_rating,english_address,intro,OWI,topic,good_to_know
1. Gyeongbokgung Palace,"Culture(6850), History & Heritage(6747), Architecture(6680), Activities(3580), Nature(3138), Facilities(2688), Scenery(2366), Atmosphere(2109), Price(1977), Service(1603), Accessibility(1260), Crowds(431), Food & Drink(394), Transportation(301), Shopping(293), Cleanliness(233), Safety(183)","Crowds(1131), Facilities(821), Nature(787), Architecture(698), History & Heritage(636), Activities(505), Accessibility(481), Culture(335), Atmosphere(236), Service(217), Price(153), Scenery(90), Food & Drink(56), Transportation(35), Safety(31), Cleanliness(30), Shopping(22)",4.4,"161, Sajik-ro, Jongno-gu, Seoul","Gyeongbokgung  is a former royal palace in Seoul, South Korea. Established in 1395, it was the first royal palace of the Joseon dynasty, and is now one of the most significant tourist attractions in the country.",0.308,"{""positive"": {""topic"": ""History/Culture"", ""phrase"": ""Rich history & culture!"", ""share"": 47.5}, ""neutral"": {""topic"": ""Performance"", ""phrase"": ""Check performance times."", ""share"": 7.2}, ""negative"": {""topic"": ""Weather"", ""phrase"": ""Weather can make or break the visit."", ""share"": 7.4}}","Gyeongbokgung Palace is a popular destination, so visiting early in the day can help you enjoy the beauty with fewer crowds. While some facilities might feel a bit dated, the rich history and stunning architecture make it worth the visit. Comfortable shoes are a must as the palace grounds are extensive and exploring might take some walking."
10. Everland,"Activities(3735), Nature(1060), Facilities(586), Food & Drink(497), Culture(496), Price(487), Accessibility(356), Atmosphere(352), Transportation(334), Crowds(272), Scenery(220), Service(202), Shopping(159), Architecture(110), Cleanliness(62), Safety(26), History & Heritage(15)","Crowds(640), Activities(494), Facilities(313), Nature(228), Transportation(201), Price(146), Accessibility(135), Food & Drink(119), Service(52), Culture(41), Atmosphere(33), Shopping(23), Safety(13), Architecture(5), Scenery(2), Cleanliness(1)",4.4,"199, Everland-ro, Pogok-eup, Cheoin-gu, Yongin-si, Gyeonggi-do","Everland is South Korea's largest theme park. Along with its main attractions, Everland includes a zoo and water park known as Caribbean Bay.",0.295,"{""positive"": {""topic"": ""Nature"", ""phrase"": ""Beautiful natural scenery!"", ""share"": 78.9}, ""neutral"": {""topic"": ""Transport"", ""phrase"": ""Plan your route in advance."", ""share"": 25.5}, ""negative"": {""topic"": ""Transport"", ""phrase"": ""Be cautious about transportation."", ""share"": 62.6}}","Everland is a fun spot but can get quite busy, especially on weekends and holidays, so planning your visit on a weekday might give you a more relaxed experience. Some facilities might have queues, so be ready with a little patience to fully enjoy the activities. Public transportation is available, but checking schedules ahead of time can make your trip smoother."
11. Haeundae Beach,"Nature(3549), Activities(1564), Food & Drink(1556), Scenery(1252), Facilities(1123), Atmosphere(991), Cleanliness(725), Culture(571), Accessibility(481), Crowds(431), Shopping(385), Transportation(151), Safety(136), Architecture(131), Service(81), Price(80), History & Heritage(29)","Crowds(807), Nature(752), Activities(201), Facilities(174), Atmosphere(148), Cleanliness(111), Price(69), Food & Drink(66), Scenery(59), Accessibility(58), Transportation(51), Safety(41), Architecture(38), Shopping(37), Culture(19), Service(18)",4.3,"59, Yangun-ro 37beon-gil, Haeundae-gu, Busan","Haeundae Beach is one of Busan's most popular tourist attractions and one of South Korea's most popular beaches. It is open around the year, and hosts a variety of events, including the Haeundae Sand Festival and Busan International Film Festival.",0.324,"{""positive"": {""topic"": ""Food"", ""phrase"": ""Highly recommended for food!"", ""share"": 22.5}, ""neutral"": {""topic"": ""Weather"", ""phrase"": ""Check the weather before visiting."", ""share"": 24.5}, ""negative"": {""topic"": ""Facilities"", ""phrase"": ""Facilities need improvement."", ""share"": 8.0}}","Haeundae Beach is vibrant and lively, which means it can get crowded, especially during peak seasons. While nature lovers might find some areas less pristine, the beach's atmosphere and nearby activities offer plenty of enjoyment. Bringing your own snacks or planning meals in advance is helpful as food options might vary."
12. Busan Gamcheon Culture Village,"Scenery(1779), Culture(1670), Activities(1196), Food & Drink(881), Facilities(838), Atmosphere(831), Shopping(814), Architecture(767), Transportation(460), Accessibility(435), Nature(214), History & Heritage(197), Service(155), Price(148), Crowds(146), Cleanliness(32), Safety(13)","Accessibility(531), Crowds(331), Nature(210), Facilities(201), Activities(198), Transportation(185), Culture(102), Atmosphere(94), Food & Drink(76), Shopping(73), Scenery(55), Architecture(44), Price(35), Service(22), Cleanliness(16), History & Heritage(14), Safety(9)",4.3,"30, Gamnae 1-ro 225beon-gil, Saha-gu, Busan","Gamcheon Culture Village is known for its layered streets, twisted labyrinth-like alleys, and brightly painted houses, which have been restored and enhanced in recent years to attract tourism.[1] Built on a steep mountain-side slope, the village has been nicknamed ""Korea's Santorini"" and the ""Machu Picchu of Busan"".",0.235,"{""positive"": {""topic"": ""Shopping"", ""phrase"": ""Great for shopping!"", ""share"": 11.5}, ""neutral"": {""topic"": ""Transport"", ""phrase"": ""Plan your route in advance."", ""share"": 22.9}, ""negative"": {""topic"": ""Hiking/Stairs"", ""phrase"": ""Steep stairs — physically demanding."", ""share"": 22.8}}","Busan Gamcheon Culture Village is charming but has some hilly terrain, so comfortable footwear is recommended for exploring its colorful streets. Accessibility might be a bit challenging for those with mobility concerns, but the unique culture and art make the journey worthwhile. Visiting during less busy times can enhance your experience."
13. Starfield COEX Mall,"Shopping(1194), Food & Drink(654), Activities(492), Facilities(351), Culture(226), Accessibility(198), Atmosphere(90), Transportation(75), Price(67), Architecture(56), History & Heritage(48), Crowds(47), Service(44), Cleanliness(34), Scenery(24), Nature(21), Safety(5)","Shopping(228), Facilities(134), Accessibility(111), Crowds(76), Price(71), Food & Drink(49), Atmosphere(47), Activities(37), Architecture(37), Nature(17), Culture(15), Service(14), Transportation(10), Cleanliness(5), History & Heritage(2), Safety(2), Scenery(2)",4.0,"513, Yeongdong-daero, Gangnam-gu, Seoul","Starfield COEX Mall is adjacent to the COEX Convention & Exhibition Center, which is part of the COEX complex, run by the Korea International Trade Association (KITA). Millennium Square is the main exit of COEX Mall connecting with Line 2's Samseong Station.",0.413,"{""positive"": {""topic"": ""Shopping"", ""phrase"": ""Great for shopping!"", ""share"": 19.5}, ""neutral"": {""topic"": ""Transport"", ""phrase"": ""Plan your route in advance."", ""share"": 22.2}, ""negative"": {""topic"": ""Food"", ""phrase"": ""Food options may disappoint."", ""share"": 93.0}}","Starfield COEX Mall is a bustling shopping and entertainment hub, so it can feel crowded during peak hours. Some areas might have limited seating or rest spots, so wear comfortable shoes for a full day of exploring. Planning your visit outside of weekends can help you enjoy the mall at a gentler pace."
14. Seongsan Ilchulbong,"Scenery(2493), Activities(1013), Nature(991), Facilities(456), Food & Drink(361), Accessibility(332), Price(146), History & Heritage(138), Culture(133), Shopping(112), Atmosphere(100), Transportation(78), Crowds(69), Service(35), Architecture(34), Safety(19), Cleanliness(16)","Nature(452), Crowds(408), Accessibility(381), Activities(353), Scenery(172), Facilities(136), Price(51), Transportation(51), Atmosphere(40), Culture(28), Service(17), Safety(15), Food & Drink(14), Architecture(11), Cleanliness(10), History & Heritage(5), Shopping(5)",4.5,"78, Seongsan-ri, Seongsan-eup, Seogwipo-si, Jeju-do"," It is 182 meters high and has a volcanic crater at the top. Considered one of South Korea's most beautiful tourist sites, it is famed for being the easternmost mountain on Jeju, and thus the best spot on the island to see the first sunrise of the year.",0.186,"{""positive"": {""topic"": ""Scenery"", ""phrase"": ""Stunning views!"", ""share"": 25.1}, ""neutral"": {""topic"": ""Hiking/Stairs"", ""phrase"": ""Wear comfortable shoes."", ""share"": 62.7}, ""negative"": {""topic"": ""Scenery"", ""phrase"": ""Views depend heavily on weather."", ""share"": 15.3}}","Seongsan Ilchulbong is a stunning natural site that attracts many visitors, so early morning visits are best to avoid crowds. The hike to the peak can be a bit challenging for some, so wear suitable shoes and bring water. Accessibility might be limited in some areas, but the breathtaking views are worth the effort."
15. Lotte World Tower & Mall,"Shopping(527), Scenery(459), Activities(327), Facilities(326), Food & Drink(303), Architecture(279), Accessibility(157), Price(71), Crowds(44), Atmosphere(42), Service(42), Nature(35), Culture(34), Transportation(24), Cleanliness(19), History & Heritage(15), Safety(5)","Price(119), Facilities(93), Crowds(69), Scenery(36), Shopping(26), Food & Drink(21), Nature(21), Accessibility(20), Activities(18), Architecture(16), Service(12), Safety(9), Transportation(9), Atmosphere(8), Cleanliness(4), Culture(1)",4.4,"240, Olympic-ro, Songpa-gu, Seoul","Lotte World Tower & Mall is a major shopping and entertainment complex located in Songpa District, Seoul. Opened in 2014, it includes Lotte World Tower, Lotte World Mall, and Avenue L. The complex offers a wide range of shopping, dining, cultural, and leisure facilities, and is connected through an underground plaza, making it one of Seoul’s prominent urban attractions.",0.33,"{""positive"": {""topic"": ""Food"", ""phrase"": ""Highly recommended for food!"", ""share"": 24.5}, ""neutral"": {""topic"": ""Scenery"", ""phrase"": ""Views vary by time and weather."", ""share"": 13.3}, ""negative"": {""topic"": ""Facilities"", ""phrase"": ""Facilities need improvement."", ""share"": 27.8}}","Lotte World Tower & Mall offers amazing views and shopping, though prices can be on the higher side. Visiting during weekdays can help you avoid larger crowds and enjoy a more relaxed atmosphere. Some facilities might feel busy, so planning your itinerary can help you make the most of your visit."
16. Dongdaemun Design Plaza (DDP),"Architecture(2119), Shopping(866), Facilities(542), Culture(488), Atmosphere(487), History & Heritage(464), Activities(392), Food & Drink(363), Scenery(268), Accessibility(208), Nature(144), Transportation(76), Price(62), Crowds(45), Service(24), Cleanliness(18), Safety(2)","Facilities(101), Architecture(93), Shopping(69), Price(64), Accessibility(56), History & Heritage(51), Activities(46), Crowds(39), Culture(31), Atmosphere(28), Nature(25), Food & Drink(20), Service(10), Cleanliness(3), Scenery(3), Transportation(3)",4.2,"281, Eulji-ro, Jung-gu, Seoul","Dongdaemun Design Plaza is a major urban development landmark in Seoul. The landmark is the centerpiece of South Korea's fashion hub and popular tourist destination, Dongdaemun, featuring a walkable park on its roofs, large global exhibition spaces, futuristic retail stores, and restored parts of the Seoul fortress.",0.316,"{""positive"": {""topic"": ""Shopping"", ""phrase"": ""Great for shopping!"", ""share"": 40.3}, ""neutral"": {""topic"": ""Exhibits"", ""phrase"": ""Exhibits vary by season/event."", ""share"": 13.2}, ""negative"": {""topic"": ""History/Culture"", ""phrase"": ""Exhibits may feel lacking."", ""share"": 21.0}}","Dongdaemun Design Plaza is an architectural marvel but can be busy, especially during events. Some facilities might be crowded, so visiting during off-peak hours can make your experience more comfortable. Exploring nearby shops and cultural spots can add extra charm to your visit."
17. Starfield Library,"Facilities(225), Culture(178), Atmosphere(155), Shopping(124), Architecture(103), Activities(96), Food & Drink(64), Scenery(57), Accessibility(34), Crowds(15), History & Heritage(9), Nature(6), Price(5), Cleanliness(4), Service(4), Transportation(3), Safety(2)","Crowds(53), Atmosphere(30), Facilities(25), Accessibility(16), Shopping(9), Activities(6), Nature(6), Architecture(3), Culture(3), Transportation(3), Price(2), Scenery(2), Food & Drink(1), Safety(1), Service(1)",4.4,"46, Teheran-ro 87-gil, Gangnam-gu, Seoul","Located in the middle of COEX Central Plaza, Starfield Library offers visitors a perfect reading space. The two-story library has 13-meter-tall bookshelfs and soft lights to ease the eyes as well as various types of tables with electric plugs for those with laptops. With more than 50,000 books ranging from literature to hobbies as well as over 400 types of magazines, visitors are welcome to find pleasure in reading and relax",0.383,"{""positive"": {""topic"": ""Shopping"", ""phrase"": ""Great for shopping!"", ""share"": 11.4}, ""neutral"": {""topic"": ""Scenery"", ""phrase"": ""Views vary by time and weather."", ""share"": 18.4}, ""negative"": {""topic"": ""Crowds"", ""phrase"": ""Very crowded — expect waiting."", ""share"": 27.5}}","Starfield Library is a cozy spot that tends to attract many visitors, so finding a quiet corner might take some patience. The atmosphere is wonderful for reading and relaxing, but it can get lively during peak times. Arriving early can help you enjoy the space more peacefully."
18. Seoraksan National Park,"Nature(1214), Scenery(918), Activities(828), Transportation(483), History & Heritage(318), Facilities(283), Food & Drink(223), Accessibility(134), Atmosphere(126), Crowds(71), Service(56), Culture(49), Price(47), Cleanliness(38), Shopping(34), Safety(30), Architecture(20)","Crowds(228), Nature(206), Transportation(129), Activities(98), Accessibility(78), Facilities(71), Price(52), Scenery(32), Safety(26), Food & Drink(18), Atmosphere(17), History & Heritage(6), Cleanliness(5), Service(5), Shopping(5), Architecture(2), Culture(2)",4.7,"1103, Seoraksan-ro, Sokcho-si, Gangwon-do","Seoraksan National Park is a national park in South Korea. It is listed by the South Korean government with UNESCO as a tentative World Heritage Site. Located on the east-central Korean peninsula, the park includes the Dinosaur Ridge, Injegun, Yanyanggun, and Sokchosi. It is popular with tourists and nature enthusiasts. It is home to many rare taxa of flora and fauna.",0.176,"{""positive"": {""topic"": ""Transport"", ""phrase"": ""Easy to get to!"", ""share"": 12.1}, ""neutral"": {""topic"": ""Hiking/Stairs"", ""phrase"": ""Wear comfortable shoes."", ""share"": 28.5}, ""negative"": {""topic"": ""Scenery"", ""phrase"": ""Views depend heavily on weather."", ""share"": 27.1}}","Seoraksan National Park offers breathtaking nature but can be popular with tourists, so starting hikes early can give you a more peaceful experience. Transportation options may require some planning, especially for reaching trailheads. Wearing proper hiking gear will make your adventure safer and more enjoyable."
