location_name,positive_top10,negative_top10,avg_rating
1. Gyeongbokgung Palace,"architecture(3413), accessibility(2107), views(1121), price(830), changing_of_the_guard_ceremony(818), history(743), size(724), changing_of_the_guard(699), gyeongbokgung_palace(694), photo_opportunities(617)","crowds(527), weather(497), crowding(472), size(126), architecture(125), walking(106), buildings(93), accessibility(92), temperature(90), walking_distance(68)",4.4
10. Everland,"rides(539), zoo(244), attractions(231), overall_experience(218), accessibility(217), safari(190), theme_park(155), amusement_park(154), crowds(139), food(132)","crowds(330), crowding(162), weather(118), accessibility(108), rides(92), queues(88), queue_time(55), price(48), food_price(36), ride_availability(34)",4.4
11. Haeundae Beach,"beach(1454), views(686), accessibility(584), restaurants(444), cleanliness(399), atmosphere(295), beach_cleanliness(221), crowds(219), hotels(218), haeundae_beach(217)","crowding(429), crowds(262), weather(242), water_temperature(81), swimming(80), beach(68), wind(43), accessibility(38), crowdedness(38), cleanliness(37)",4.2
12. Busan Gamcheon Culture Village,"views(1022), accessibility(578), shopping(288), photo_spots(283), cafes(280), photo_opportunities(251), village(236), colorful_houses(234), map(189), overall_experience(169)","crowds(229), accessibility(198), weather(117), stairs(56), walking(41), walking_difficulty(41), crowding(38), navigation(32), shopping(30), overall_experience(25)",4.3
13. Starfield COEX Mall,"shopping(237), accessibility(211), aquarium(195), restaurants(186), library(109), size(108), mall_size(77), cinema(76), food(75), food_court(75)","shopping(58), navigation(53), crowding(36), accessibility(34), crowds(33), price(31), size(31), layout(26), renovation(20), shopping_experience(19)",4.0
14. Seongsan Ilchulbong,"views(1686), accessibility(180), sunrise(134), weather(123), overall_experience(106), climb(104), sunrise_view(94), seongsan_ilchulbong(81), hike(74), price(66)","crowding(207), weather(206), crowds(162), stairs(137), wind(77), sunrise(56), hiking_difficulty(49), accessibility(48), climbing_difficulty(48), views(47)",4.6
15. Lotte World Tower & Mall,"views(306), shopping(128), accessibility(97), restaurants(83), glass_floor(70), shopping_mall(70), elevator(59), aquarium(55), mall(53), food(50)","price(77), crowds(71), views(27), parking(13), weather(11), accessibility(8), admission_fee(8), parking_fee(7), prices(7), ticket_price(7)",4.4
16. Dongdaemun Design Plaza (DDP),"architecture(913), accessibility(414), design(309), shopping(305), building_design(191), exhibitions(179), lighting(174), views(154), atmosphere(97), restaurants(84)","interior(35), price(34), shopping(33), accessibility(21), crowds(21), activities(20), exhibitions(19), navigation(16), crowding(14), exhibits(13)",4.2
17. Starfield Library,"accessibility(115), library(96), atmosphere(69), photo_opportunities(40), book_collection(33), seating(32), design(28), bookshelves(24), ambiance(22), books(22)","crowds(35), noise_level(11), crowdedness(9), noise(9), seating_availability(7), accessibility(6), book_accessibility(6), books(3), crowd_noise(3), environment(3)",4.4
18. Seoraksan National Park,"views(714), cable_car(344), accessibility(119), hiking(113), nature(95), park(88), weather(87), hiking_trails(85), trails(81), architecture(73)","crowds(105), weather(98), crowding(92), cable_car(46), views(23), traffic(19), safety(17), accessibility(14), hiking_difficulty(14), price(14)",4.7
19. Haedong Yonggungsa,"accessibility(1271), views(1162), architecture(782), atmosphere(205), sea_view(142), overall_experience(132), statues(132), price(98), photo_opportunities(87), weather(78)","crowds(371), accessibility(350), crowding(214), stairs(121), weather(84), steps(40), commercialization(38), atmosphere(37), architecture(32), walking_distance(31)",4.3
2. Myeongdong Shopping Street,"shopping(4278), street_food(2313), restaurants(1528), food(1412), cosmetics(1146), accessibility(1089), atmosphere(1064), shopping_experience(812), price(761), cafes(472)","crowding(1020), crowds(974), price(491), prices(257), shopping(247), crowdedness(219), shopping_experience(184), street_food(118), weather(101), noise(93)",4.3
20. Spirited Garden,"garden(336), bonsai_trees(82), atmosphere(81), bonsai(77), service(75), trees(61), food(58), views(57), owner(51), overall_experience(42)","price(11), accessibility(7), weather(7), crowding(4), crowds(3), garden_size(3), size(3), beauty(2), bonsai(2), bonsai_garden(2)",4.8
21. Namsan Park,"views(1639), accessibility(607), cable_car(483), park(323), namsan_park(169), seoul_tower(140), weather(116), nature(110), namsan_tower(108), love_locks(92)","crowding(166), crowds(158), cable_car(117), weather(106), stairs(64), accessibility(54), views(50), price(42), cable_car_queue(17), temperature(16)",4.3
22. Bongeunsa Temple,"accessibility(866), architecture(433), atmosphere(373), views(149), buddha_statue(129), peacefulness(115), price(90), lanterns(82), activities(64), buildings(63)","crowding(46), accessibility(42), noise(18), size(16), crowds(14), construction(11), weather(11), architecture(10), surroundings(10), activities(6)",4.4
23. Gwangalli Beach,"views(535), beach(370), restaurants(230), accessibility(144), cafes(131), bridge(128), atmosphere(125), bars(94), food(89), gwangalli_beach(72)","crowding(72), crowds(33), weather(26), beach(22), swimming(15), beach_size(14), water_temperature(14), size(12), water_quality(12), beach_cleanliness(11)",4.3
24. Bulguksa Temple,"architecture(408), accessibility(304), views(190), bulguksa_temple(148), atmosphere(115), historical_significance(68), temple_complex(67), buildings(65), grounds(58), overall_experience(58)","crowding(126), crowds(86), accessibility(61), price(40), weather(39), atmosphere(16), stairs(13), travel_time(13), architecture(12), seokgatap_pagoda(12)",4.4
25. Sea Life Coex Seoul Aquarium,"aquarium(255), accessibility(193), overall_experience(92), variety_of_fish(77), exhibits(64), size(64), aquarium_size(57), suitability_for_children(51), penguins(46), cleanliness(45)","price(120), crowding(83), size(42), crowds(38), aquarium_size(27), overall_experience(19), accessibility(18), animal_welfare(18), aquarium(17), space(17)",4.2
26. Myeongdong NANTA Theater,"show(165), activities(159), entertainment(90), accessibility(54), humor(35), language_accessibility(33), overall_experience(30), performers(29), audience_participation(28), music(28)","accessibility(15), crowding(10), ticket_availability(7), activities(6), audience_participation(6), humor(6), seating(6), theater_size(5), ticket_price(5), value_for_money(5)",4.6
27. National Folk Museum of Korea,"museum(300), accessibility(299), exhibits(253), price(112), admission_fee(79), history(74), architecture(67), displays(53), culture(48), admission(47)","crowding(15), crowds(15), exhibits(10), weather(8), accessibility(6), time(6), time_available(6), visit_duration(6), architecture(5), exhibitions(4)",4.3
28. Hwaseong Fortress,"views(391), accessibility(264), fortress(110), architecture(97), hwaseong_fortress(97), walking_experience(96), weather(76), price(70), atmosphere(48), historical_significance(48)","weather(56), accessibility(37), stairs(34), walking(18), walking_distance(14), walking_difficulty(13), climb(10), crowding(10), crowds(9), price(9)",4.4
29. BIFF Square,"shopping(358), street_food(273), accessibility(245), food_stalls(211), food(162), hotteok(147), atmosphere(136), restaurants(109), price(101), crowds(74)","crowds(136), crowding(128), price(30), crowdedness(19), weather(17), cleanliness(16), shopping(16), handprints(12), street_food(10), biff_square(8)",4.0
