location_name,english_address,intro,OWI,topic
1. Gyeongbokgung Palace,"161, Sajik-ro, Jongno-gu, Seoul","Gyeongbokgung  is a former royal palace in Seoul, South Korea. Established in 1395, it was the first royal palace of the Joseon dynasty, and is now one of the most significant tourist attractions in the country.",0.308,"{'positive': {'topic': 'History/Culture', 'phrase': 'Rich history & culture!'}, 'negative': {'topic': 'Weather', 'phrase': 'Weather can make or break the visit.'}}"
10. Everland,"199, Everland-ro, Pogok-eup, Cheoin-gu, Yongin-si, Gyeonggi-do","Everland is South Korea's largest theme park. Along with its main attractions, Everland includes a zoo and water park known as Caribbean Bay.",0.295,"{'positive': {'topic': 'Nature', 'phrase': 'Beautiful natural scenery!'}, 'negative': {'topic': 'Transport', 'phrase': 'Be cautious about transportation.'}}"
11. Haeundae Beach,"59, Yangun-ro 37beon-gil, Haeundae-gu, Busan","Haeundae Beach is one of Busan's most popular tourist attractions and one of South Korea's most popular beaches. It is open around the year, and hosts a variety of events, including the Haeundae Sand Festival and Busan International Film Festival.",0.324,"{'positive': {'topic': 'Nature', 'phrase': 'Beautiful natural scenery!'}, 'negative': {'topic': 'Weather', 'phrase': 'Weather can make or break the visit.'}}"
12. Busan Gamcheon Culture Village,"30, Gamnae 1-ro 225beon-gil, Saha-gu, Busan","Gamcheon Culture Village is known for its layered streets, twisted labyrinth-like alleys, and brightly painted houses, which have been restored and enhanced in recent years to attract tourism.[1] Built on a steep mountain-side slope, the village has been nicknamed ""Korea's Santorini"" and the ""Machu Picchu of Busan"".",0.235,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'Shopping', 'phrase': 'Shopping can feel touristy/pricey.'}}"
13. Starfield COEX Mall,"513, Yeongdong-daero, Gangnam-gu, Seoul","Starfield COEX Mall is adjacent to the COEX Convention & Exhibition Center, which is part of the COEX complex, run by the Korea International Trade Association (KITA). Millennium Square is the main exit of COEX Mall connecting with Line 2's Samseong Station.",0.413,"{'positive': {'topic': 'Transport', 'phrase': 'Easy to get to!'}, 'negative': {'topic': 'Shopping', 'phrase': 'Shopping can feel touristy/pricey.'}}"
14. Seongsan Ilchulbong,"78, Seongsan-ri, Seongsan-eup, Seogwipo-si, Jeju-do"," It is 182 meters high and has a volcanic crater at the top. Considered one of South Korea's most beautiful tourist sites, it is famed for being the easternmost mountain on Jeju, and thus the best spot on the island to see the first sunrise of the year.",0.186,"{'positive': {'topic': 'Scenery', 'phrase': 'Stunning views!'}, 'negative': {'topic': 'Hiking/Stairs', 'phrase': 'Steep stairs — physically demanding.'}}"
15. Lotte World Tower & Mall,"240, Olympic-ro, Songpa-gu, Seoul","Lotte World Tower & Mall is a major shopping and entertainment complex located in Songpa District, Seoul. Opened in 2014, it includes Lotte World Tower, Lotte World Mall, and Avenue L. The complex offers a wide range of shopping, dining, cultural, and leisure facilities, and is connected through an underground plaza, making it one of Seoul’s prominent urban attractions.",0.33,"{'positive': {'topic': 'Food', 'phrase': 'Highly recommended for food!'}, 'negative': {'topic': 'Facilities', 'phrase': 'Facilities need improvement.'}}"
16. Dongdaemun Design Plaza (DDP),"281, Eulji-ro, Jung-gu, Seoul","Dongdaemun Design Plaza is a major urban development landmark in Seoul. The landmark is the centerpiece of South Korea's fashion hub and popular tourist destination, Dongdaemun, featuring a walkable park on its roofs, large global exhibition spaces, futuristic retail stores, and restored parts of the Seoul fortress.",0.316,"{'positive': {'topic': 'Shopping', 'phrase': 'Great for shopping!'}, 'negative': {'topic': 'Exhibits', 'phrase': 'Exhibits may feel underwhelming.'}}"
17. Starfield Library,"46, Teheran-ro 87-gil, Gangnam-gu, Seoul","Located in the middle of COEX Central Plaza, Starfield Library offers visitors a perfect reading space. The two-story library has 13-meter-tall bookshelfs and soft lights to ease the eyes as well as various types of tables with electric plugs for those with laptops. With more than 50,000 books ranging from literature to hobbies as well as over 400 types of magazines, visitors are welcome to find pleasure in reading and relax",0.383,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'Shopping', 'phrase': 'Shopping can feel touristy/pricey.'}}"
18. Seoraksan National Park,"1103, Seoraksan-ro, Sokcho-si, Gangwon-do","Seoraksan National Park is a national park in South Korea. It is listed by the South Korean government with UNESCO as a tentative World Heritage Site. Located on the east-central Korean peninsula, the park includes the Dinosaur Ridge, Injegun, Yanyanggun, and Sokchosi. It is popular with tourists and nature enthusiasts. It is home to many rare taxa of flora and fauna.",0.176,"{'positive': {'topic': 'History/Culture', 'phrase': 'Rich history & culture!'}, 'negative': {'topic': 'Transport', 'phrase': 'Be cautious about transportation.'}}"
